scope,group,metric,n,blocks,mean,std,median,q25,q75,positive_fraction,negative_fraction,ci_low,ci_high
family,gaussian_noise,A_Z_single,96,16,10.542703025137376,3.9872442782484128,9.198535503147761,7.638325309672749,13.560183702812456,1.0,0.0,8.522521714671043,10.187319253799222
family,gaussian_noise,A_P4,96,16,13.088407740961921,5.257768912679679,11.714588275941242,9.257485790072327,17.062026443021733,1.0,0.0,10.41902210498499,12.86896037736113
family,gaussian_noise,projector_transfer_ratio,96,16,0.8752215188933233,0.06807574421646095,0.8710682136625163,0.845360087937768,0.9089339011513171,1.0,0.0,0.8563126064344904,0.8874513759531675
family,gaussian_noise,G_norm,96,16,8.005418352561758,2.90349346920572,7.115659013611089,6.016374727315394,10.365181878601398,1.0,0.0,6.431702054872278,7.915121641371809
family,gaussian_noise,G_angle,96,16,1.3107594347849707,0.04967638810126733,1.3128548540999072,1.2728359662365039,1.3447766692481378,1.0,0.0,1.2945623291039712,1.334255417906303
family,gaussian_noise,dominance_margin,96,16,1.3909387132854103,0.39135881880366163,1.3551346736164147,1.1983595357800765,1.7251875977087203,0.9895833333333334,0.010416666666666666,1.2553721677393335,1.4588334126552416
family,gaussian_noise,student_static_norm_median,96,16,3.8829126864594152,0.21746879311793743,3.8893398835668975,3.7019610333353588,4.051082135222666,1.0,0.0,3.83214220217842,3.9312315072648207
family,gaussian_noise,student_response_norm_median,96,16,0.6330889408895416,0.3059604666985537,0.5987020382705626,0.41864473095735183,0.725914730565624,1.0,0.0,0.5547814027037263,0.6698868050314457
family,gaussian_noise,teacher_response_norm_median,96,16,0.5530939425995709,0.1193526891889391,0.5618249934711099,0.44354201693441475,0.6326094650072535,1.0,0.0,0.5178869485726904,0.601386145228773
family,gaussian_noise,cos_static_mean,96,16,0.6373628815348492,0.029941884535485557,0.6389055671411956,0.6169868871465212,0.6593270573442949,1.0,0.0,0.6303727870357646,0.6498393632082681
family,gaussian_noise,cos_response_mean,96,16,-0.00921167814569096,0.014673622337906206,-0.009938008157104973,-0.01908820033544546,-0.000586816277811424,0.23958333333333334,0.7604166666666666,-0.013313976365669397,-0.0053832193727195235
family,gaussian_noise,response_grad_Z,96,16,0.09242887774753082,0.03359204128899535,0.08462711507820404,0.06893058893588488,0.12193441325018504,1.0,0.0,0.07611043044204759,0.09085155921067875
family,gaussian_noise,response_grad_P4,96,16,0.06560629285630631,0.022722664534043365,0.057810470816526925,0.04937360106156784,0.08346301353553115,1.0,0.0,0.05386934505757443,0.0642526041720545
condition,brightness:0.6,A_Z,48,16,79.96168873867637,20.951056477747255,79.56213898861195,67.51720531345805,89.30185482041097,1.0,0.0,70.77338380925752,85.93491268971766
condition,brightness:0.6,A_Z_single,48,16,56.54145234224604,14.814634108437426,56.25892800455411,47.74187372391058,63.14594711604917,1.0,0.0,50.0443396190442,60.765159503573244
condition,brightness:0.6,A_P4,48,16,76.48152376172375,20.14171964548967,75.65612165182536,65.13685144781506,88.23203930339031,1.0,0.0,69.10727176228167,85.44062430539886
condition,brightness:0.6,projector_transfer_ratio,48,16,0.9550645602968375,0.04783730841193438,0.9558418514475362,0.9185151424907241,0.986858397914248,1.0,0.0,0.9365618600635814,0.9757652130499259
condition,brightness:0.6,G_norm,48,16,42.31451434098082,10.4618659297426,42.33906922254745,36.01184751840275,46.96811200678978,1.0,0.0,38.60144113526507,45.90253833431211
condition,brightness:0.6,G_angle,48,16,1.332174312173268,0.06092906849150072,1.327849854141478,1.2939250494032226,1.3583040081874658,1.0,0.0,1.309348399432515,1.343580943190691
condition,brightness:0.6,dominance_margin,48,16,3.0792889935490524,0.23479150406319127,3.0771223070791187,2.9578577750884607,3.238198933705844,1.0,0.0,3.002373269976185,3.199628109264063
condition,brightness:0.6,student_static_norm_median,48,16,3.9187335217829506,0.37013177909387457,3.9132763366397167,3.6688674882421193,4.027540081874793,1.0,0.0,3.8175115942454494,3.9355030193568887
condition,brightness:0.6,student_response_norm_median,48,16,0.1128590514327732,0.03565705310691046,0.10691222645666948,0.09374619193259723,0.11955169160471642,1.0,0.0,0.09648306067879217,0.11203269791241821
condition,brightness:0.6,teacher_response_norm_median,48,16,0.10813598437082506,0.0070004390363686405,0.10903812559698038,0.1028934740564752,0.11186761028380517,1.0,0.0,0.10384141185769623,0.11160441545687677
condition,brightness:0.6,cos_static_mean,48,16,0.6473973995611074,0.03403262955055826,0.6516166985138103,0.6242615713630859,0.6658360413895253,1.0,0.0,0.6342027441221636,0.660725302308872
condition,brightness:0.6,cos_response_mean,48,16,-0.0009903171922177056,0.01490521560009847,0.0011756656605988493,-0.010240661487103621,0.008203523807840011,0.5208333333333334,0.4791666666666667,-0.004519254085322794,0.0057807366875095925
condition,brightness:0.6,response_grad_Z,48,16,0.48510819733173555,0.12415212530411403,0.4825267339959008,0.4281997124514261,0.5518122987807157,1.0,0.0,0.4576890779323456,0.5393730208315333
condition,brightness:0.6,response_grad_P4,48,16,0.35760287477340696,0.08084897924978389,0.35216433343389175,0.29653964361778323,0.40093738104476784,1.0,0.0,0.30896130153979384,0.38681488431434796
condition,brightness:0.8,A_Z,48,16,81.67340039306809,14.832470521371635,82.3898120279456,76.82366277621509,91.43557679806884,1.0,0.0,79.33642705622152,85.94215404866165
condition,brightness:0.8,A_Z_single,48,16,57.751815260502475,10.488140487411448,58.25839478564531,54.32253290465024,64.65471639561781,1.0,0.0,56.099325566566115,60.770279917587544
condition,brightness:0.8,A_P4,48,16,78.27536536139343,15.860851542596965,80.85502715538807,71.84640876072763,85.6915154285635,1.0,0.0,76.89023817605903,83.47621560169422
condition,brightness:0.8,projector_transfer_ratio,48,16,0.9533470778103365,0.05403676669532838,0.9603392543104257,0.9197192388253612,0.9916422526553526,1.0,0.0,0.9307656020754413,0.9803976294712478
condition,brightness:0.8,G_norm,48,16,43.30258967009513,7.209478521081256,44.40660972291944,40.74338335720151,47.590260395892024,1.0,0.0,42.08198186530856,46.121658135465125
condition,brightness:0.8,G_angle,48,16,1.3301706293371767,0.0601859530538926,1.3236160639926955,1.2928869620806802,1.3553883388100187,1.0,0.0,1.3098048133971887,1.3423526200699558
condition,brightness:0.8,dominance_margin,48,16,3.113274250519813,0.21552698426434438,3.147978571674332,3.062812438376309,3.2356226267431856,1.0,0.0,3.0996746350088795,3.2076396859581138
condition,brightness:0.8,student_static_norm_median,48,16,3.9219743616797875,0.3780354053392063,3.9042617360127787,3.656334201972614,4.042107514237237,1.0,0.0,3.8227846419894407,3.936469806131093
